endTime,artistName,trackName,msPlayed
2020-06-23 02:13,Skrillex,First of the Year (Equinox),142280
2020-06-23 12:34,DESOBEDIÊNCIA PRODUTIVA COM IVAN MORÉ,O QUE SÃO ASSISTENTES DE VOZ? COM CONRADO CAON,1137038
2020-06-24 11:37,Black Sabbath,Sabbath Bloody Sabbath,347626
2020-06-24 11:41,Ozzy Osbourne,All My Life,258277
2020-06-24 11:41,The Rolling Stones,"Paint It, Black",22127
2020-06-24 11:42,The Beatles,With A Little Help From My Friends - Remastered 2009,19506
2020-06-24 11:46,Led Zeppelin,When the Levee Breaks - Remaster,263006
2020-06-24 11:46,The Rolling Stones,Rain Fall Down - Remastered 2009,1893
2020-06-24 11:49,The Rolling Stones,Street Fighting Man - 50th Anniversary Edition,1900
2020-06-24 11:49,AC/DC,Have a Drink on Me,140236
2020-06-24 11:50,Aerosmith,Something,1267
2020-06-24 11:50,Led Zeppelin,Going to California - Remaster,6188
2020-06-24 11:50,AC/DC,Big Gun,1104
2020-06-24 11:50,AC/DC,Boogie Man,1761
2020-06-24 11:50,The Beatles,Come Together - Remastered 2009,79897
2020-06-24 11:50,The Beatles,The Night Before - Remastered 2009,3972
2020-06-24 11:50,Led Zeppelin,Heartbreaker - Remaster,14606
2020-06-24 11:50,AC/DC,Hail Caesar,2951
2020-06-24 11:50,The Beatles,Hey Jude - Remastered 2015,1090
2020-06-24 11:51,AC/DC,Let's Get It Up,27826
2020-06-24 11:51,The Rolling Stones,Rocks Off,2821
2020-06-24 11:51,Queen,Love Of My Life - Remastered 2011,6783
2020-06-24 11:51,Aerosmith,Cryin',21103
2020-06-24 11:52,The Beatles,A Hard Day's Night - Remastered 2009,19326
2020-06-24 11:52,The Beatles,A Hard Day's Night - Remastered 2009,4818
2020-06-24 11:52,Led Zeppelin,Since I've Been Loving You - Remaster,6550
2020-06-24 11:52,Black Sabbath,N.I.B.,1018
2020-06-24 11:52,The Beatles,Things We Said Today - Remastered 2009,1293
2020-06-24 11:52,The Beatles,Things We Said Today - Remastered 2009,951
2020-06-24 11:53,The Rolling Stones,Hate To See You Go,1456
2020-06-24 11:53,Led Zeppelin,Rock and Roll - Remaster,1096
2020-06-24 11:53,The Beatles,When I'm Sixty Four - Remastered 2009,797
2020-06-24 11:53,Queen,Another One Bites The Dust - Remastered 2011,76890
2020-06-24 11:53,Aerosmith,Sunny Side Of Love,1035
2020-06-24 11:53,The Beatles,Roll Over Beethoven - Remastered 2009,1332
2020-06-24 11:53,The Beatles,All I've Got To Do - Remastered 2009,1387
2020-06-24 11:54,Led Zeppelin,Over the Hills and Far Away - Remaster,6671
2020-06-24 11:54,Black Sabbath,Damaged Soul,3764
2020-06-24 11:54,AC/DC,Shake a Leg,4935
2020-06-24 11:56,The Beatles,Ticket To Ride - Remastered 2009,1227
2020-06-24 11:56,George Harrison,"While My Guitar Gently Weeps - Live From Madison Square Garden, New York, U.S.A, 1971 / 2009 Mix",151800
2020-06-24 11:56,Pearl Jam,Soldier of Love,1290
2020-06-24 11:56,The Beatles,Twist And Shout - Remastered 2009,1377
2020-06-24 11:56,Queen,Under Pressure - Remastered 2011,2256
2020-06-24 11:56,The Rolling Stones,Respectable - Remastered,2613
2020-06-24 11:56,Black Sabbath,Iron Man,1708
2020-06-24 11:57,Queen,I Want To Break Free - Single Remix,6014
2020-06-24 12:02,Aerosmith,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",299760
2020-06-24 12:08,The Who,Who Are You,381626
2020-06-24 12:11,AC/DC,Inject the Venom,210893
2020-06-24 12:12,Creedence Clearwater Revival,Have You Ever Seen The Rain,1291
2020-06-24 12:12,AC/DC,Evil Walks,1031
2020-06-24 12:12,AC/DC,Evil Walks,194
2020-06-24 12:12,John Lennon,Imagine - Remastered 2010,11106
2020-06-24 12:12,Scorpions,Still Loving You,7486
2020-06-24 12:12,Scorpions,Still Loving You,26267
2020-06-24 12:12,Aerosmith,Pink,4498
2020-06-24 12:12,AC/DC,High Voltage,2506
2020-06-24 12:12,The Beatles,All My Loving - Remastered 2009,0
